folder_name,plant_name,disease_name,description,precaution
Analivegam_healthy,Analivegam,Healthy,The plant is healthy with no visible signs of disease.,"Maintain regular watering, provide proper sunlight, and monitor regularly."
Analivegam_leafspot,Analivegam,Leaf Spot,"Fungal or bacterial infection forming brown or black spots on leaves, leading to yellowing and premature leaf drop","Remove infected leaves, avoid excess moisture, improve air circulation, apply fungicides or bactericides if needed"
Aratta_healthy,Aratta,Healthy,The plant is healthy with no visible signs of disease,"Maintain regular watering, provide proper sunlight, and monitor regularly."
Aratta_leafspot,Aratta,Leaf Spot,"Aratta leaf is affected by leaf spot disease, commonly caused by fungal pathogens like Cercospora or Phyllosticta species. Symptoms begin as small, brown or black circular spots, often surrounded by yellow halos. Over time, these spots expand and coalesce, leading to leaf yellowing, drying, and premature drop, which weakens the plant.",Remove and destroy affected leaves to reduce inoculum. Ensure proper spacing and airflow through pruning. Avoid overhead watering to keep foliage dry. Apply preventive fungicides such as copper oxychloride or mancozeb when early symptoms appear. Maintain field hygiene and monitor regularly.
Betel_anthracnose,Betel,Anthracnose,"Fungal disease causing dark, sunken spots on leaves, leading to leaf drop and reduced plant growth, especially in humid conditions","Remove and destroy infected leaves, improve air circulation, avoid excess moisture, and apply copper-based fungicides"
Betel_healthy,Betel,Healthy,The plant is healthy with no visible signs of disease,"Maintain regular watering, provide proper sunlight, and monitor regularly."
Blackpepper_healthy,Blackpepper,Healthy,The plant is healthy with no visible signs of disease,"Maintain regular watering, provide proper sunlight, and monitor regularly."
Blackpepper_leafspot,Blackpepper,Leaf Spot,"Dark or brown spots appear on pepper plant leaves, often leading to reduced growth and yield, typically caused by fungal or bacterial infections."," Remove infected leaves, maintain proper spacing, avoid water accumulation, and apply fungicides or bactericides as required."
Cinnamon_healthy,Cinnamon,Healthy,The plant is healthy with no visible signs of disease,"Maintain regular watering, provide proper sunlight, and monitor regularly."
Cinnamon_shorthole,Cinnamon,Shorthole,"Fungal infection causing small, circular holes in leaves due to tissue decay, often triggered by high humidity and poor air circulation","Prune affected leaves, ensure proper spacing, avoid overhead watering, apply fungicides, and maintain garden hygiene"
